Sort by node name !
Node Name        	Op Type              	Avg(ms)   	%         	Flops Rate 	
335              	Convolution          	5.569259  	3.737751  	1.000291   	
338              	Convolution          	2.386220  	1.601487  	0.592765   	
341              	ConvolutionDepthwise 	0.957480  	0.642603  	0.083358   	
344              	Convolution          	0.522590  	0.350731  	0.148191   	
346              	Convolution          	1.933781  	1.297837  	0.666861   	
349              	ConvolutionDepthwise 	1.484340  	0.996199  	0.093777   	
352              	Convolution          	0.632420  	0.424442  	0.250073   	
354              	Convolution          	0.753310  	0.505576  	0.305645   	
357              	ConvolutionDepthwise 	0.771740  	0.517945  	0.114617   	
360              	Convolution          	0.762750  	0.511912  	0.305645   	
362              	Eltwise              	0.088520  	0.059409  	0.003312   	
363              	Convolution          	0.849090  	0.569858  	0.333431   	
366              	ConvolutionDepthwise 	0.707190  	0.474623  	0.086831   	
369              	Convolution          	0.312070  	0.209443  	0.138929   	
371              	Pooling              	0.016150  	0.010839  	0.000000   	
372              	Convolution          	0.006750  	0.004530  	0.000057   	
375              	Convolution          	0.005680  	0.003812  	0.000057   	
377              	Sigmoid              	0.005210  	0.003497  	0.000005   	
378              	BinaryOp             	0.025500  	0.017114  	0.001380   	
379              	Convolution          	0.750230  	0.503509  	0.347323   	
382              	ConvolutionDepthwise 	1.556280  	1.044481  	0.217077   	
385              	Convolution          	0.808980  	0.542939  	0.347323   	
387              	Pooling              	0.015260  	0.010242  	0.000000   	
388              	Convolution          	0.006800  	0.004564  	0.000057   	
391              	Convolution          	0.005060  	0.003396  	0.000057   	
393              	Sigmoid              	0.004610  	0.003094  	0.000005   	
394              	BinaryOp             	0.028640  	0.019221  	0.001380   	
395              	Eltwise              	0.046030  	0.030893  	0.001380   	
396              	Convolution          	0.758470  	0.509039  	0.347323   	
399              	ConvolutionDepthwise 	1.579670  	1.060179  	0.217077   	
402              	Convolution          	0.801300  	0.537784  	0.347323   	
404              	Pooling              	0.015080  	0.010121  	0.000000   	
405              	Convolution          	0.006640  	0.004456  	0.000057   	
408              	Convolution          	0.005070  	0.003403  	0.000057   	
410              	Sigmoid              	0.004790  	0.003215  	0.000005   	
411              	BinaryOp             	0.027260  	0.018295  	0.001380   	
412              	Eltwise              	0.041720  	0.028000  	0.001380   	
413              	Convolution          	0.385390  	0.258651  	0.173662   	
416              	ConvolutionDepthwise 	0.751510  	0.504368  	0.108539   	
419              	Convolution          	0.436930  	0.293241  	0.208394   	
421              	Pooling              	0.016170  	0.010852  	0.000000   	
422              	Convolution          	0.005510  	0.003698  	0.000081   	
425              	Convolution          	0.005480  	0.003678  	0.000081   	
427              	Sigmoid              	0.004610  	0.003094  	0.000006   	
428              	BinaryOp             	0.014960  	0.010040  	0.001656   	
429              	Convolution          	0.151620  	0.101758  	0.069465   	
431              	Eltwise              	0.015230  	0.010221  	0.001656   	
432              	Convolution          	0.535450  	0.359362  	0.250073   	
435              	ConvolutionDepthwise 	0.896360  	0.601583  	0.130246   	
438              	Convolution          	0.535970  	0.359711  	0.250073   	
440              	Pooling              	0.015220  	0.010215  	0.000000   	
441              	Convolution          	0.005790  	0.003886  	0.000081   	
444              	Convolution          	0.005680  	0.003812  	0.000081   	
446              	Sigmoid              	0.003800  	0.002550  	0.000006   	
447              	BinaryOp             	0.015090  	0.010127  	0.001656   	
448              	Eltwise              	0.020780  	0.013946  	0.001656   	
449              	Convolution          	1.055060  	0.708092  	0.500145   	
452              	ConvolutionDepthwise 	0.622660  	0.417892  	0.065123   	
455              	Convolution          	0.528430  	0.354650  	0.250073   	
457              	Pooling              	0.014280  	0.009584  	0.000000   	
458              	Convolution          	0.008820  	0.005919  	0.000326   	
461              	Convolution          	0.008570  	0.005752  	0.000326   	
463              	Sigmoid              	0.005060  	0.003396  	0.000013   	
464              	BinaryOp             	0.014070  	0.009443  	0.000828   	
465              	Convolution          	0.120070  	0.080584  	0.055572   	
494              	Interp               	0.057800  	0.038792  	0.002208   	
495              	Convolution          	1.748930  	1.173777  	1.333723   	
498              	Convolution          	0.250040  	0.167812  	0.111143   	
501              	Eltwise              	0.028010  	0.018799  	0.002208   	
528              	Interp               	0.178800  	0.120000  	0.008833   	
529              	Convolution          	6.967669  	4.676279  	5.334891   	
532              	Convolution          	0.597070  	0.400717  	0.222287   	
535              	Eltwise              	0.233820  	0.156926  	0.008833   	
562              	Interp               	0.677160  	0.454469  	0.035332   	
563              	Convolution          	22.666174 	15.212169 	21.339565  	
566              	Convolution          	1.785840  	1.198548  	0.592765   	
569              	Eltwise              	1.135270  	0.761925  	0.035332   	
570              	Convolution          	12.412144 	8.330282  	10.669783  	
573              	Convolution          	8.268742  	5.549480  	5.334891   	
576              	Convolution          	2.688690  	1.804487  	1.333723   	
579              	Convolution          	2.647460  	1.776815  	1.333723   	
582              	Convolution          	2.581190  	1.732339  	1.333723   	
585              	Concat               	0.222250  	0.149161  	0.017666   	
586              	Concat               	0.499230  	0.335053  	0.035332   	
587              	Convolution          	22.617826 	15.179721 	21.339565  	
590              	Convolution          	2.967961  	1.991916  	0.037048   	
591              	Convolution          	23.027832 	15.454891 	21.339565  	
