2020-08-06 00:00:00,692 - INFO - train.py[:250] - iter: 203925, lr: 0.0001, epoch: 92.61, loss: 5.50, hm_loss: 2.90, box_loss: 0.94, lmdk_loss: 1.66225
2020-08-06 00:00:02,467 - INFO - train.py[:250] - iter: 203935, lr: 0.0001, epoch: 92.61, loss: 4.71, hm_loss: 3.00, box_loss: 0.70, lmdk_loss: 1.01646
2020-08-06 00:00:04,304 - INFO - train.py[:250] - iter: 203945, lr: 0.0001, epoch: 92.62, loss: 3.04, hm_loss: 0.83, box_loss: 0.89, lmdk_loss: 1.32387
2020-08-06 00:00:06,109 - INFO - train.py[:250] - iter: 203955, lr: 0.0001, epoch: 92.62, loss: 11.07, hm_loss: 3.64, box_loss: 1.65, lmdk_loss: 5.78313
2020-08-06 00:00:07,809 - INFO - train.py[:250] - iter: 203965, lr: 0.0001, epoch: 92.63, loss: 6.08, hm_loss: 1.35, box_loss: 1.05, lmdk_loss: 3.67990
2020-08-06 00:00:09,561 - INFO - train.py[:250] - iter: 203975, lr: 0.0001, epoch: 92.63, loss: 7.24, hm_loss: 5.64, box_loss: 1.06, lmdk_loss: 0.53212
2020-08-06 00:00:11,334 - INFO - train.py[:250] - iter: 203985, lr: 0.0001, epoch: 92.64, loss: 7.00, hm_loss: 5.07, box_loss: 0.86, lmdk_loss: 1.07149
2020-08-06 00:00:13,162 - INFO - train.py[:250] - iter: 203995, lr: 0.0001, epoch: 92.64, loss: 4.80, hm_loss: 2.29, box_loss: 0.65, lmdk_loss: 1.85783
2020-08-06 00:00:14,962 - INFO - train.py[:250] - iter: 204005, lr: 0.0001, epoch: 92.64, loss: 7.14, hm_loss: 2.87, box_loss: 1.55, lmdk_loss: 2.72462
2020-08-06 00:00:16,732 - INFO - train.py[:250] - iter: 204015, lr: 0.0001, epoch: 92.65, loss: 4.55, hm_loss: 1.94, box_loss: 0.64, lmdk_loss: 1.97173
2020-08-06 00:00:18,559 - INFO - train.py[:250] - iter: 204025, lr: 0.0001, epoch: 92.65, loss: 8.50, hm_loss: 4.58, box_loss: 1.60, lmdk_loss: 2.32597
2020-08-06 00:00:20,305 - INFO - train.py[:250] - iter: 204035, lr: 0.0001, epoch: 92.66, loss: 5.00, hm_loss: 3.07, box_loss: 0.85, lmdk_loss: 1.07074
2020-08-06 00:00:22,088 - INFO - train.py[:250] - iter: 204045, lr: 0.0001, epoch: 92.66, loss: 5.55, hm_loss: 3.98, box_loss: 0.97, lmdk_loss: 0.60087
2020-08-06 00:00:23,814 - INFO - train.py[:250] - iter: 204055, lr: 0.0001, epoch: 92.67, loss: 1.42, hm_loss: 0.46, box_loss: 0.59, lmdk_loss: 0.36899
2020-08-06 00:00:25,463 - INFO - train.py[:250] - iter: 204065, lr: 0.0001, epoch: 92.67, loss: 6.70, hm_loss: 4.97, box_loss: 0.95, lmdk_loss: 0.78132
2020-08-06 00:00:27,210 - INFO - train.py[:250] - iter: 204075, lr: 0.0001, epoch: 92.68, loss: 2.16, hm_loss: 0.37, box_loss: 0.90, lmdk_loss: 0.88598
2020-08-06 00:00:29,025 - INFO - train.py[:250] - iter: 204085, lr: 0.0001, epoch: 92.68, loss: 13.62, hm_loss: 4.00, box_loss: 1.42, lmdk_loss: 8.20489
2020-08-06 00:00:30,831 - INFO - train.py[:250] - iter: 204095, lr: 0.0001, epoch: 92.69, loss: 2.86, hm_loss: 1.51, box_loss: 0.74, lmdk_loss: 0.60756
2020-08-06 00:00:32,650 - INFO - train.py[:250] - iter: 204105, lr: 0.0001, epoch: 92.69, loss: 2.98, hm_loss: 0.93, box_loss: 0.74, lmdk_loss: 1.31456
